Wed Oct 28 02:19:41 2020 Epoch 0, lr: 0.0001000, val loss: 149.25757, acc: 45.81000
Wed Oct 28 02:44:52 2020 Epoch 22, lr: 0.0001000, val loss: 71.65324, acc: 75.47000
Wed Oct 28 02:46:01 2020 Epoch 23, lr: 0.0001000, val loss: 69.89486, acc: 76.17000
Wed Oct 28 02:47:09 2020 Epoch 24, lr: 0.0001000, val loss: 71.35829, acc: 75.00000
Wed Oct 28 02:48:18 2020 Epoch 25, lr: 0.0001000, val loss: 70.00906, acc: 76.46000
Wed Oct 28 02:49:27 2020 Epoch 26, lr: 0.0001000, val loss: 68.82054, acc: 76.74000
Wed Oct 28 02:50:36 2020 Epoch 27, lr: 0.0001000, val loss: 67.50249, acc: 77.24000
Wed Oct 28 02:51:44 2020 Epoch 28, lr: 0.0001000, val loss: 67.71045, acc: 77.08000
Wed Oct 28 02:52:53 2020 Epoch 29, lr: 0.0001000, val loss: 68.44057, acc: 76.84000
Wed Oct 28 02:54:01 2020 Epoch 30, lr: 0.0001000, val loss: 67.50337, acc: 77.33000
Wed Oct 28 02:55:10 2020 Epoch 31, lr: 0.0001000, val loss: 67.98517, acc: 77.42000
Wed Oct 28 02:56:18 2020 Epoch 32, lr: 0.0001000, val loss: 67.19535, acc: 77.34000
Wed Oct 28 02:57:27 2020 Epoch 33, lr: 0.0001000, val loss: 67.21230, acc: 78.01000
Wed Oct 28 02:58:36 2020 Epoch 34, lr: 0.0001000, val loss: 69.19893, acc: 77.84000
Wed Oct 28 02:59:44 2020 Epoch 35, lr: 0.0001000, val loss: 64.88638, acc: 78.87000
Wed Oct 28 03:00:53 2020 Epoch 36, lr: 0.0001000, val loss: 66.69895, acc: 78.46000
Wed Oct 28 03:02:02 2020 Epoch 37, lr: 0.0001000, val loss: 66.10147, acc: 78.60000
Wed Oct 28 03:03:10 2020 Epoch 38, lr: 0.0001000, val loss: 64.60483, acc: 79.13000
Wed Oct 28 03:04:18 2020 Epoch 39, lr: 0.0001000, val loss: 68.31437, acc: 78.62000
Wed Oct 28 03:05:27 2020 Epoch 40, lr: 0.0001000, val loss: 64.75209, acc: 79.57000
Wed Oct 28 03:06:36 2020 Epoch 41, lr: 0.0001000, val loss: 64.46018, acc: 79.63000
Wed Oct 28 03:07:44 2020 Epoch 42, lr: 0.0001000, val loss: 67.03657, acc: 78.78000
Wed Oct 28 03:08:53 2020 Epoch 43, lr: 0.0001000, val loss: 67.35336, acc: 79.11000
Wed Oct 28 03:10:02 2020 Epoch 44, lr: 0.0001000, val loss: 67.63423, acc: 79.02000
Wed Oct 28 03:11:10 2020 Epoch 45, lr: 0.0001000, val loss: 67.07969, acc: 79.66000
Wed Oct 28 03:12:19 2020 Epoch 46, lr: 0.0000100, val loss: 69.18692, acc: 79.11000
Wed Oct 28 03:13:28 2020 Epoch 47, lr: 0.0000100, val loss: 64.23234, acc: 80.77000
Wed Oct 28 03:14:36 2020 Epoch 48, lr: 0.0000100, val loss: 64.81049, acc: 80.81000
Wed Oct 28 03:15:44 2020 Epoch 49, lr: 0.0000100, val loss: 65.04099, acc: 80.91000
Wed Oct 28 03:52:28 2020 Epoch 0, lr: 0.0001000, val loss: 145.21277, acc: 48.18000
Wed Oct 28 03:53:37 2020 Epoch 1, lr: 0.0001000, val loss: 130.14710, acc: 53.22000
Wed Oct 28 03:54:45 2020 Epoch 2, lr: 0.0001000, val loss: 119.99731, acc: 57.05000
Wed Oct 28 03:55:53 2020 Epoch 3, lr: 0.0001000, val loss: 113.94354, acc: 59.23000
Wed Oct 28 03:57:02 2020 Epoch 4, lr: 0.0001000, val loss: 106.74878, acc: 61.69000
Wed Oct 28 03:58:10 2020 Epoch 5, lr: 0.0001000, val loss: 104.91728, acc: 62.95000
Wed Oct 28 03:59:18 2020 Epoch 6, lr: 0.0001000, val loss: 98.78972, acc: 64.83000
Wed Oct 28 04:00:27 2020 Epoch 7, lr: 0.0001000, val loss: 96.17003, acc: 65.46000
Wed Oct 28 04:01:35 2020 Epoch 8, lr: 0.0001000, val loss: 94.82091, acc: 66.54000
Wed Oct 28 04:02:43 2020 Epoch 9, lr: 0.0001000, val loss: 96.35869, acc: 66.62000
Wed Oct 28 04:03:52 2020 Epoch 10, lr: 0.0001000, val loss: 90.63397, acc: 67.32000
Wed Oct 28 04:05:01 2020 Epoch 11, lr: 0.0001000, val loss: 86.54807, acc: 69.44000
Wed Oct 28 04:06:09 2020 Epoch 12, lr: 0.0001000, val loss: 83.59144, acc: 70.03000
Wed Oct 28 04:07:17 2020 Epoch 13, lr: 0.0001000, val loss: 84.07160, acc: 70.15000
Wed Oct 28 04:08:26 2020 Epoch 14, lr: 0.0001000, val loss: 82.46807, acc: 70.91000
Wed Oct 28 04:09:35 2020 Epoch 15, lr: 0.0001000, val loss: 79.90046, acc: 72.24000
Wed Oct 28 04:10:43 2020 Epoch 16, lr: 0.0001000, val loss: 79.96951, acc: 72.31000
Wed Oct 28 04:11:51 2020 Epoch 17, lr: 0.0001000, val loss: 78.79997, acc: 72.31000
Wed Oct 28 04:13:00 2020 Epoch 18, lr: 0.0001000, val loss: 78.89132, acc: 72.27000
Wed Oct 28 04:14:08 2020 Epoch 19, lr: 0.0001000, val loss: 74.17493, acc: 74.16000
Wed Oct 28 04:15:17 2020 Epoch 20, lr: 0.0001000, val loss: 73.21486, acc: 74.63000
Wed Oct 28 04:16:25 2020 Epoch 21, lr: 0.0001000, val loss: 73.42624, acc: 74.36000
Wed Oct 28 04:17:34 2020 Epoch 22, lr: 0.0001000, val loss: 73.11926, acc: 74.80000
Fri Dec  8 19:10:54 2023 Epoch 0, lr: 0.0001000, val loss: 32.24654, acc: 38.22985
Fri Dec  8 19:30:21 2023 Epoch 0, lr: 0.0001000, val loss: 32.08061, acc: 38.75411
Fri Dec  8 19:30:33 2023 Epoch 1, lr: -0.0032000, val loss: 23082.99622, acc: 9.98150
Fri Dec  8 19:30:45 2023 Epoch 2, lr: 0.0001000, val loss: 162.57783, acc: 8.66571
Fri Dec  8 19:30:56 2023 Epoch 3, lr: 0.0034000, val loss: 55.67922, acc: 9.99178
Fri Dec  8 19:31:08 2023 Epoch 4, lr: 0.0067000, val loss: 53.57833, acc: 14.35033
Fri Dec  8 19:31:20 2023 Epoch 5, lr: 0.0100000, val loss: 82.80825, acc: 17.25946
Fri Dec  8 19:31:31 2023 Epoch 6, lr: 0.0100000, val loss: 48.52634, acc: 17.89679
Fri Dec  8 19:31:43 2023 Epoch 7, lr: 0.0100000, val loss: 48.45136, acc: 18.64720
Fri Dec  8 19:31:54 2023 Epoch 8, lr: 0.0100000, val loss: 58.09552, acc: 17.83512
Fri Dec  8 19:32:06 2023 Epoch 9, lr: 0.0100000, val loss: 40.68105, acc: 19.49013
Fri Dec  8 19:32:17 2023 Epoch 10, lr: 0.0100000, val loss: 62.55241, acc: 19.40789
Fri Dec  8 19:32:28 2023 Epoch 11, lr: 0.0100000, val loss: 39.73027, acc: 20.59005
Fri Dec  8 19:32:40 2023 Epoch 12, lr: 0.0100000, val loss: 40.52913, acc: 22.40954
Fri Dec  8 19:32:51 2023 Epoch 13, lr: 0.0100000, val loss: 41.69842, acc: 19.98355
Fri Dec  8 19:33:02 2023 Epoch 14, lr: 0.0100000, val loss: 43.13044, acc: 24.35238
Fri Dec  8 19:33:14 2023 Epoch 15, lr: 0.0100000, val loss: 65.30759, acc: 17.50617
Fri Dec  8 19:33:26 2023 Epoch 16, lr: 0.0100000, val loss: 43.38713, acc: 26.08964
Fri Dec  8 19:33:38 2023 Epoch 17, lr: 0.0100000, val loss: 40.66457, acc: 23.83840
Fri Dec  8 19:33:49 2023 Epoch 18, lr: 0.0100000, val loss: 62.93238, acc: 26.02796
Fri Dec  8 19:34:01 2023 Epoch 19, lr: 0.0100000, val loss: 39.75025, acc: 24.62993
Fri Dec  8 19:34:12 2023 Epoch 20, lr: 0.0100000, val loss: 42.27009, acc: 25.43174
Fri Dec  8 19:34:24 2023 Epoch 21, lr: 0.0100000, val loss: 56.01235, acc: 22.72821
Fri Dec  8 19:34:35 2023 Epoch 22, lr: 0.0100000, val loss: 40.39345, acc: 26.62418
Fri Dec  8 19:34:47 2023 Epoch 23, lr: 0.0100000, val loss: 42.25463, acc: 27.65214
Fri Dec  8 19:34:59 2023 Epoch 24, lr: 0.0100000, val loss: 38.02371, acc: 28.96793
Fri Dec  8 19:35:10 2023 Epoch 25, lr: 0.0100000, val loss: 38.00033, acc: 30.30428
Fri Dec  8 19:35:21 2023 Epoch 26, lr: 0.0100000, val loss: 38.86676, acc: 31.89762
Fri Dec  8 19:35:33 2023 Epoch 27, lr: 0.0100000, val loss: 39.48213, acc: 27.19984
Fri Dec  8 19:35:44 2023 Epoch 28, lr: 0.0100000, val loss: 56.95369, acc: 22.73849
Fri Dec  8 19:35:55 2023 Epoch 29, lr: 0.0100000, val loss: 40.22576, acc: 27.85773
Fri Dec  8 19:36:07 2023 Epoch 30, lr: 0.0100000, val loss: 75.28680, acc: 16.72492
Fri Dec  8 19:36:18 2023 Epoch 31, lr: 0.0100000, val loss: nan, acc: 9.93010
Fri Dec  8 19:36:29 2023 Epoch 32, lr: 0.0010000, val loss: nan, acc: 9.93010
Fri Dec  8 19:36:40 2023 Epoch 33, lr: 0.0010000, val loss: nan, acc: 9.93010
Fri Dec  8 19:36:51 2023 Epoch 34, lr: 0.0010000, val loss: nan, acc: 9.93010
Fri Dec  8 19:37:02 2023 Epoch 35, lr: 0.0010000, val loss: nan, acc: 9.93010
Fri Dec  8 19:37:13 2023 Epoch 36, lr: 0.0010000, val loss: nan, acc: 9.93010
Fri Dec  8 19:46:05 2023 Epoch 0, lr: 0.0001000, val loss: 31.69885, acc: 40.62500
Fri Dec  8 19:46:15 2023 Epoch 1, lr: -0.0032000, val loss: 23363.05237, acc: 9.99178
Fri Dec  8 19:46:26 2023 Epoch 2, lr: 0.0001000, val loss: 85.54342, acc: 8.25452
Fri Dec  8 19:46:36 2023 Epoch 3, lr: 0.0034000, val loss: 61.10354, acc: 9.68339
Fri Dec  8 19:46:46 2023 Epoch 4, lr: 0.0067000, val loss: 49.66623, acc: 10.03289
Fri Dec  8 19:46:56 2023 Epoch 5, lr: 0.0100000, val loss: 117.02007, acc: 10.03289
Fri Dec  8 19:47:07 2023 Epoch 6, lr: 0.0100000, val loss: 54.84369, acc: 9.97122
Fri Dec  8 19:47:17 2023 Epoch 7, lr: 0.0100000, val loss: 67.25966, acc: 10.43380
Fri Dec  8 19:47:27 2023 Epoch 8, lr: 0.0100000, val loss: 51.85268, acc: 10.56743
Fri Dec  8 19:47:38 2023 Epoch 9, lr: 0.0100000, val loss: 52.23482, acc: 10.01234
Fri Dec  8 19:47:49 2023 Epoch 10, lr: 0.0100000, val loss: 51.19921, acc: 10.08429
Fri Dec  8 19:48:00 2023 Epoch 11, lr: 0.0100000, val loss: 47.67845, acc: 11.84211
Fri Dec  8 19:48:10 2023 Epoch 12, lr: 0.0100000, val loss: 47.32627, acc: 14.21669
Fri Dec  8 19:48:20 2023 Epoch 13, lr: 0.0100000, val loss: 51.08309, acc: 14.80263
Fri Dec  8 19:48:31 2023 Epoch 14, lr: 0.0100000, val loss: 46.19684, acc: 18.62664
Fri Dec  8 19:48:41 2023 Epoch 15, lr: 0.0100000, val loss: 107.28138, acc: 10.01234
Fri Dec  8 19:48:52 2023 Epoch 16, lr: 0.0100000, val loss: nan, acc: 9.93010
Fri Dec  8 19:49:03 2023 Epoch 17, lr: 0.0100000, val loss: nan, acc: 9.93010
Fri Dec  8 19:50:13 2023 Epoch 0, lr: 0.0001000, val loss: 31.98474, acc: 39.32977
Fri Dec  8 19:50:23 2023 Epoch 1, lr: -0.0032000, val loss: 23307.02759, acc: 9.97122
Fri Dec  8 19:50:33 2023 Epoch 2, lr: 0.0001000, val loss: 98.11178, acc: 6.70230
Fri Dec  8 19:50:44 2023 Epoch 3, lr: 0.0034000, val loss: 47.19873, acc: 10.79359
Fri Dec  8 19:50:55 2023 Epoch 4, lr: 0.0067000, val loss: 46.31472, acc: 10.67023
Fri Dec  8 19:51:05 2023 Epoch 5, lr: 0.0100000, val loss: 49.42485, acc: 12.07854
Fri Dec  8 19:51:15 2023 Epoch 6, lr: 0.0100000, val loss: 49.41659, acc: 10.89638
Fri Dec  8 19:51:25 2023 Epoch 7, lr: 0.0100000, val loss: 43.75307, acc: 15.58388
Fri Dec  8 19:51:35 2023 Epoch 8, lr: 0.0100000, val loss: 44.03690, acc: 17.63980
Fri Dec  8 19:52:03 2023 Epoch 0, lr: 0.0001000, val loss: 32.84637, acc: 37.96258
Fri Dec  8 19:52:13 2023 Epoch 1, lr: 0.0001000, val loss: 28.37253, acc: 47.04975
Fri Dec  8 19:52:23 2023 Epoch 2, lr: 0.0001000, val loss: 26.73670, acc: 49.74301
Fri Dec  8 19:52:33 2023 Epoch 3, lr: 0.0001000, val loss: 24.67666, acc: 53.75206
Fri Dec  8 19:52:43 2023 Epoch 4, lr: 0.0001000, val loss: 23.82145, acc: 55.19120
Fri Dec  8 19:52:53 2023 Epoch 5, lr: 0.0000999, val loss: 23.07561, acc: 57.20600
Fri Dec  8 19:53:04 2023 Epoch 6, lr: 0.0000999, val loss: 22.01377, acc: 58.54235
Fri Dec  8 19:53:14 2023 Epoch 7, lr: 0.0000998, val loss: 21.55057, acc: 59.62171
Fri Dec  8 19:53:24 2023 Epoch 8, lr: 0.0000998, val loss: 21.13874, acc: 61.26645
Fri Dec  8 19:53:34 2023 Epoch 9, lr: 0.0000997, val loss: 20.31812, acc: 62.36637
Fri Dec  8 19:53:44 2023 Epoch 10, lr: 0.0000996, val loss: 20.40291, acc: 62.31497
Fri Dec  8 19:53:54 2023 Epoch 11, lr: 0.0000995, val loss: 19.85099, acc: 63.04482
Fri Dec  8 19:54:05 2023 Epoch 12, lr: 0.0000994, val loss: 19.56148, acc: 63.90831
Fri Dec  8 19:54:15 2023 Epoch 13, lr: 0.0000993, val loss: 19.15658, acc: 64.52508
Fri Dec  8 19:54:25 2023 Epoch 14, lr: 0.0000991, val loss: 18.54835, acc: 65.43997
Fri Dec  8 19:54:35 2023 Epoch 15, lr: 0.0000990, val loss: 19.08211, acc: 64.12418
Fri Dec  8 19:54:45 2023 Epoch 16, lr: 0.0000988, val loss: 17.99900, acc: 66.70436
Fri Dec  8 19:54:55 2023 Epoch 17, lr: 0.0000986, val loss: 18.11702, acc: 66.29317
Fri Dec  8 19:55:05 2023 Epoch 18, lr: 0.0000984, val loss: 17.32324, acc: 67.92763
Fri Dec  8 19:55:15 2023 Epoch 19, lr: 0.0000982, val loss: 17.42156, acc: 68.22574
Fri Dec  8 19:55:26 2023 Epoch 20, lr: 0.0000980, val loss: 17.34824, acc: 68.31826
Fri Dec  8 19:55:36 2023 Epoch 21, lr: 0.0000978, val loss: 16.73288, acc: 68.94531
Fri Dec  8 19:55:46 2023 Epoch 22, lr: 0.0000976, val loss: 16.69830, acc: 69.61349
Fri Dec  8 19:55:56 2023 Epoch 23, lr: 0.0000973, val loss: 16.59836, acc: 69.33594
Fri Dec  8 19:56:06 2023 Epoch 24, lr: 0.0000970, val loss: 16.44087, acc: 69.78824
Fri Dec  8 19:56:16 2023 Epoch 25, lr: 0.0000968, val loss: 15.95452, acc: 70.88816
Fri Dec  8 19:56:27 2023 Epoch 26, lr: 0.0000965, val loss: 15.84742, acc: 71.07319
Fri Dec  8 19:56:37 2023 Epoch 27, lr: 0.0000962, val loss: 15.81490, acc: 71.17599
Fri Dec  8 19:56:47 2023 Epoch 28, lr: 0.0000959, val loss: 15.85580, acc: 70.88816
Fri Dec  8 19:56:57 2023 Epoch 29, lr: 0.0000956, val loss: 15.57604, acc: 71.65913
Fri Dec  8 19:57:07 2023 Epoch 30, lr: 0.0000952, val loss: 15.28246, acc: 72.11143
Fri Dec  8 19:57:17 2023 Epoch 31, lr: 0.0000949, val loss: 15.26101, acc: 72.52262
Fri Dec  8 19:57:27 2023 Epoch 32, lr: 0.0000946, val loss: 15.57414, acc: 71.62829
Fri Dec  8 19:57:37 2023 Epoch 33, lr: 0.0000942, val loss: 15.22060, acc: 72.39926
Fri Dec  8 19:57:48 2023 Epoch 34, lr: 0.0000938, val loss: 14.94751, acc: 72.91324
Fri Dec  8 19:57:58 2023 Epoch 35, lr: 0.0000934, val loss: 14.96021, acc: 72.61513
Fri Dec  8 19:58:08 2023 Epoch 36, lr: 0.0000930, val loss: 14.65724, acc: 73.50946
Fri Dec  8 19:58:18 2023 Epoch 37, lr: 0.0000926, val loss: 14.80154, acc: 73.25247
Fri Dec  8 19:58:28 2023 Epoch 38, lr: 0.0000922, val loss: 14.50601, acc: 74.02344
Fri Dec  8 19:58:38 2023 Epoch 39, lr: 0.0000918, val loss: 14.28885, acc: 73.99260
Fri Dec  8 19:58:48 2023 Epoch 40, lr: 0.0000914, val loss: 14.65877, acc: 73.38610
Fri Dec  8 19:58:58 2023 Epoch 41, lr: 0.0000909, val loss: 14.20319, acc: 74.54770
Fri Dec  8 19:59:08 2023 Epoch 42, lr: 0.0000905, val loss: 14.46399, acc: 74.13651
Fri Dec  8 19:59:18 2023 Epoch 43, lr: 0.0000900, val loss: 14.69004, acc: 73.48890
Fri Dec  8 19:59:28 2023 Epoch 44, lr: 0.0000895, val loss: 13.82533, acc: 74.96916
Fri Dec  8 19:59:38 2023 Epoch 45, lr: 0.0000890, val loss: 14.13283, acc: 74.65049
Fri Dec  8 19:59:49 2023 Epoch 46, lr: 0.0000885, val loss: 13.71535, acc: 75.56538
Fri Dec  8 19:59:59 2023 Epoch 47, lr: 0.0000880, val loss: 13.77879, acc: 75.58594
Fri Dec  8 20:00:09 2023 Epoch 48, lr: 0.0000875, val loss: 13.58526, acc: 75.75041
Fri Dec  8 20:00:19 2023 Epoch 49, lr: 0.0000870, val loss: 13.68493, acc: 75.49342
Fri Dec  8 20:00:29 2023 Epoch 50, lr: 0.0000864, val loss: 13.76064, acc: 75.68873
Fri Dec  8 20:00:39 2023 Epoch 51, lr: 0.0000859, val loss: 14.05702, acc: 75.21587
Fri Dec  8 20:00:49 2023 Epoch 52, lr: 0.0000854, val loss: 13.76037, acc: 75.69901
Fri Dec  8 20:00:59 2023 Epoch 53, lr: 0.0000848, val loss: 13.67563, acc: 75.55510
Fri Dec  8 20:01:09 2023 Epoch 54, lr: 0.0000842, val loss: 13.74427, acc: 75.53454
Fri Dec  8 20:02:45 2023 Epoch 0, lr: 0.0001000, val loss: 31.43183, acc: 40.09046
Fri Dec  8 20:02:55 2023 Epoch 1, lr: 0.0001000, val loss: 28.67317, acc: 47.17311
Fri Dec  8 20:03:05 2023 Epoch 2, lr: 0.0001000, val loss: 26.10806, acc: 51.13076
Fri Dec  8 20:03:15 2023 Epoch 3, lr: 0.0001000, val loss: 24.43690, acc: 54.07072
Fri Dec  8 20:03:25 2023 Epoch 4, lr: 0.0001000, val loss: 23.89655, acc: 55.26316
Fri Dec  8 20:03:35 2023 Epoch 5, lr: 0.0000999, val loss: 23.33786, acc: 56.38363
Fri Dec  8 20:03:45 2023 Epoch 6, lr: 0.0000999, val loss: 22.20707, acc: 58.62459
Fri Dec  8 20:03:55 2023 Epoch 7, lr: 0.0000998, val loss: 21.56017, acc: 60.02262
Fri Dec  8 20:04:05 2023 Epoch 8, lr: 0.0000998, val loss: 21.62467, acc: 59.54975
Fri Dec  8 20:04:15 2023 Epoch 9, lr: 0.0000997, val loss: 20.54822, acc: 61.24589
Fri Dec  8 20:04:26 2023 Epoch 10, lr: 0.0000996, val loss: 20.29464, acc: 62.03742
Fri Dec  8 20:04:36 2023 Epoch 11, lr: 0.0000995, val loss: 19.80057, acc: 63.30181
Fri Dec  8 20:04:46 2023 Epoch 12, lr: 0.0000994, val loss: 19.77638, acc: 63.24013
Fri Dec  8 20:04:56 2023 Epoch 13, lr: 0.0000993, val loss: 19.05760, acc: 64.43257
Fri Dec  8 20:05:06 2023 Epoch 14, lr: 0.0000991, val loss: 19.24811, acc: 64.24753
Fri Dec  8 20:05:16 2023 Epoch 15, lr: 0.0000990, val loss: 18.39079, acc: 65.96423
Fri Dec  8 20:05:26 2023 Epoch 16, lr: 0.0000988, val loss: 18.52163, acc: 65.42969
Fri Dec  8 20:05:36 2023 Epoch 17, lr: 0.0000986, val loss: 19.21036, acc: 64.99794
Fri Dec  8 20:05:46 2023 Epoch 18, lr: 0.0000984, val loss: 18.01138, acc: 66.98191
Fri Dec  8 20:05:56 2023 Epoch 19, lr: 0.0000982, val loss: 17.85994, acc: 66.95107
Fri Dec  8 20:06:06 2023 Epoch 20, lr: 0.0000980, val loss: 17.44686, acc: 68.11266
Fri Dec  8 20:06:16 2023 Epoch 21, lr: 0.0000978, val loss: 17.33741, acc: 68.20518
Fri Dec  8 20:06:26 2023 Epoch 22, lr: 0.0000976, val loss: 17.61450, acc: 67.61924
Fri Dec  8 20:06:36 2023 Epoch 23, lr: 0.0000973, val loss: 17.02262, acc: 69.13035
Fri Dec  8 20:06:47 2023 Epoch 24, lr: 0.0000970, val loss: 16.67201, acc: 69.44901
Fri Dec  8 20:06:57 2023 Epoch 25, lr: 0.0000968, val loss: 16.35273, acc: 70.06579
Fri Dec  8 20:07:07 2023 Epoch 26, lr: 0.0000965, val loss: 16.18799, acc: 70.47697
Fri Dec  8 20:07:17 2023 Epoch 27, lr: 0.0000962, val loss: 15.84068, acc: 70.73396
Fri Dec  8 20:07:27 2023 Epoch 28, lr: 0.0000959, val loss: 15.51560, acc: 71.39186
Fri Dec  8 20:07:37 2023 Epoch 29, lr: 0.0000956, val loss: 15.57992, acc: 71.30962
Fri Dec  8 20:07:47 2023 Epoch 30, lr: 0.0000952, val loss: 15.41395, acc: 71.79276
Fri Dec  8 20:07:57 2023 Epoch 31, lr: 0.0000949, val loss: 16.07444, acc: 70.65173
Fri Dec  8 20:08:07 2023 Epoch 32, lr: 0.0000946, val loss: 15.46285, acc: 71.52549
Fri Dec  8 20:08:17 2023 Epoch 33, lr: 0.0000942, val loss: 15.16692, acc: 72.35814
Fri Dec  8 20:08:27 2023 Epoch 34, lr: 0.0000938, val loss: 15.43388, acc: 71.29934
Fri Dec  8 20:08:37 2023 Epoch 35, lr: 0.0000934, val loss: 15.18242, acc: 72.40954
Fri Dec  8 20:08:48 2023 Epoch 36, lr: 0.0000930, val loss: 15.09314, acc: 72.50206
Fri Dec  8 20:08:58 2023 Epoch 37, lr: 0.0000926, val loss: 14.73564, acc: 73.47862
Fri Dec  8 20:09:08 2023 Epoch 38, lr: 0.0000922, val loss: 14.65664, acc: 73.41694
Fri Dec  8 20:09:18 2023 Epoch 39, lr: 0.0000918, val loss: 14.58772, acc: 72.96464
Fri Dec  8 20:09:28 2023 Epoch 40, lr: 0.0000914, val loss: 14.20179, acc: 74.23931
Fri Dec  8 20:09:38 2023 Epoch 41, lr: 0.0000909, val loss: 14.19306, acc: 74.45518
Fri Dec  8 20:09:48 2023 Epoch 42, lr: 0.0000905, val loss: 14.50120, acc: 73.77673
Fri Dec  8 20:09:58 2023 Epoch 43, lr: 0.0000900, val loss: 14.35152, acc: 74.13651
Fri Dec  8 20:10:08 2023 Epoch 44, lr: 0.0000895, val loss: 14.42985, acc: 74.06456
Fri Dec  8 20:10:18 2023 Epoch 45, lr: 0.0000890, val loss: 14.16359, acc: 74.39350
Fri Dec  8 20:10:28 2023 Epoch 46, lr: 0.0000885, val loss: 14.12163, acc: 74.23931
Fri Dec  8 20:10:38 2023 Epoch 47, lr: 0.0000880, val loss: 13.96853, acc: 74.80469
Fri Dec  8 20:10:48 2023 Epoch 48, lr: 0.0000875, val loss: 13.93804, acc: 75.19531
Fri Dec  8 20:10:58 2023 Epoch 49, lr: 0.0000870, val loss: 13.67980, acc: 75.16447
Fri Dec  8 20:11:08 2023 Epoch 50, lr: 0.0000864, val loss: 14.18625, acc: 74.58882
Fri Dec  8 20:11:18 2023 Epoch 51, lr: 0.0000859, val loss: 13.72756, acc: 75.55510
Fri Dec  8 20:11:28 2023 Epoch 52, lr: 0.0000854, val loss: 13.85221, acc: 75.10280
Fri Dec  8 20:11:38 2023 Epoch 53, lr: 0.0000848, val loss: 13.97951, acc: 74.79441
Fri Dec  8 20:11:48 2023 Epoch 54, lr: 0.0000842, val loss: 13.66865, acc: 75.44202
Fri Dec  8 20:11:58 2023 Epoch 55, lr: 0.0000837, val loss: 13.67332, acc: 75.80181
Fri Dec  8 20:12:08 2023 Epoch 56, lr: 0.0000831, val loss: 14.03288, acc: 75.16447
Fri Dec  8 20:12:20 2023 Epoch 57, lr: 0.0000825, val loss: 13.66019, acc: 75.62706
Fri Dec  8 20:12:31 2023 Epoch 58, lr: 0.0000819, val loss: 13.49974, acc: 76.12048
Fri Dec  8 20:12:41 2023 Epoch 59, lr: 0.0000813, val loss: 13.77459, acc: 75.56538
Fri Dec  8 20:12:51 2023 Epoch 60, lr: 0.0000806, val loss: 13.44275, acc: 75.97656
Fri Dec  8 20:13:01 2023 Epoch 61, lr: 0.0000800, val loss: 13.47549, acc: 76.28495
Fri Dec  8 20:13:11 2023 Epoch 62, lr: 0.0000794, val loss: 13.31837, acc: 76.27467
Fri Dec  8 20:13:21 2023 Epoch 63, lr: 0.0000788, val loss: 13.72247, acc: 76.15132
Fri Dec  8 20:13:32 2023 Epoch 64, lr: 0.0000781, val loss: 13.41635, acc: 76.71669
Fri Dec  8 20:13:42 2023 Epoch 65, lr: 0.0000775, val loss: 13.30189, acc: 76.65502
